journal_year	gold	hybrid/bronze	green	closed	total
1950	454	17310	3930	112008	133702
1951	481	20211	4277	118844	143813
1952	454	22026	4122	120272	146874
1953	436	24064	4359	128035	156894
1954	439	25754	4318	134926	165437
1955	432	27027	4226	140984	172669
1956	479	28308	4325	147066	180178
1957	397	30407	4419	154151	189374
1958	430	31763	4610	162972	199775
1959	417	34502	4720	174741	214380
1960	547	36000	5285	188531	230363
1961	481	37383	6077	197517	241458
1962	474	37683	5670	211053	254880
1963	528	41219	6611	231533	279891
1964	470	41761	6016	247733	295980
1965	479	45282	6266	265110	317137
1966	527	46864	6239	283093	336723
1967	636	51219	6707	300401	358963
1968	659	54002	6551	315082	376294
1969	688	57792	7137	323394	389011
1970	873	63062	7208	359881	431024
1971	903	61660	7440	374642	444645
1972	1087	63990	8059	398931	472067
1973	1006	66508	7761	413597	488872
1974	1296	69296	8037	423958	502587
1975	1336	70422	8451	439087	519296
1976	1273	75490	8711	453217	538691
1977	1371	78462	9760	474067	563660
1978	1248	82932	11117	496671	591968
1979	1436	83678	11539	518607	615260
1980	1770	88262	12530	547182	649744
1981	1523	90854	12827	572167	677371
1982	1488	89163	13021	589164	692836
1983	1763	91692	13149	619333	725937
1984	1929	99654	14767	648108	764458
1985	2234	100622	15066	671880	789802
1986	2147	104245	15781	704883	827056
1987	2510	112176	16046	748261	878993
1988	2734	115363	17018	784614	919729
1989	2862	120454	18114	828720	970150
1990	3131	126269	19240	864348	1012988
1991	3740	131192	20468	881715	1037115
1992	4124	134012	24542	909227	1071905
1993	4168	139571	28742	936653	1109134
1994	5038	141857	33721	962114	1142730
1995	5619	159114	39331	1017610	1221674
1996	6614	185394	44304	1041966	1278278
1997	9483	195321	49394	1068768	1322966
1998	11957	202817	54476	1085102	1354352
1999	14725	208832	61145	1096851	1381553
2000	17224	226623	69416	1210725	1523988
2001	21485	234914	75589	1220955	1552943
2002	25996	263532	82229	1218550	1590307
2003	30182	280186	92554	1311667	1714589
2004	37146	299735	103316	1467516	1907713
2005	46810	317757	117240	1488610	1970417
2006	55699	333066	141105	1659946	2189816
2007	65075	361310	155485	1840498	2422368
2008	86910	407462	176992	1876636	2548000
2009	107390	436328	195444	2086751	2825913
2010	145073	479806	200990	2304330	3130199
2011	176390	544841	205607	2275931	3202769
2012	224134	608263	214910	2259071	3306378
2013	278671	662716	231482	2432098	3604967
2014	334555	713612	237586	2479865	3765618
2015	377263	824789	236819	2441398	3880269
2016	411700	912739	257340	2556727	4138506
2017	441308	939334	232122	2841960	4454724
2018	320334	539472	89009	2027480	2976295
